,MS SubClass,MS Zoning,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition,Bldg Type,Overall Qual,Exter Qual,Bsmt Qual,BsmtFin Type 1,Total Bsmt SF,Heating QC,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Kitchen Qual,TotRms AbvGrd,Garage Area,Paved Drive,Sale Type,SalePrice,tot_baths,tot_bed_bath,tot_liv_area
0,60,RL,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRA,1Fam,6,4,3.0,GLQ,725.0,Ex,1479,0.0,0.0,4,6,475.0,Y,WD ,130500,2.5,5.5,2204.0
1,60,RL,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,7,4,4.0,GLQ,913.0,Ex,2122,1.0,0.0,4,8,559.0,Y,WD ,220000,2.5,6.5,3035.0
2,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,GLQ,1057.0,TA,1057,1.0,0.0,4,5,246.0,Y,WD ,109000,1.0,4.0,2114.0
3,60,RL,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,5,3,4.0,Unf,384.0,Gd,1444,0.0,0.0,3,7,400.0,Y,WD ,174000,2.5,5.5,1828.0
4,50,RL,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,1Fam,6,3,2.0,Unf,676.0,TA,1445,0.0,0.0,3,6,484.0,N,WD ,138500,2.0,5.0,2121.0
5,20,RL,Lvl,AllPub,Corner,Gtl,NAmes,Pos,1Fam,6,4,3.0,ALQ,1517.0,Ex,1888,0.0,0.0,4,6,578.0,Y,WD ,190000,2.5,4.5,3405.0
6,180,RM,Lvl,AllPub,Inside,Gtl,Edwards,Norm,TwnhsE,6,3,4.0,GLQ,547.0,Gd,1072,1.0,0.0,3,5,525.0,Y,New,140000,2.0,4.0,1619.0
7,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Rec,1188.0,Fa,1188,1.0,0.0,3,6,531.0,Y,COD,142000,1.0,4.0,2376.0
8,20,RL,Lvl,AllPub,Inside,Gtl,OldTown,Street,1Fam,5,3,3.0,Rec,924.0,TA,924,0.0,0.0,3,6,420.0,Y,WD ,112500,1.0,3.0,1848.0
9,60,RL,HLS,AllPub,Inside,Sev,NAmes,Norm,1Fam,5,3,4.0,Rec,1040.0,TA,2080,0.0,1.0,2,9,504.0,Y,WD ,135000,2.0,7.0,3120.0
10,160,RM,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Twnhs,6,3,3.0,ALQ,483.0,TA,987,0.0,0.0,3,4,264.0,Y,COD,85400,1.5,3.5,1470.0
11,20,RL,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,7,4,4.0,GLQ,1208.0,Ex,1208,0.0,0.0,4,6,632.0,Y,WD ,183600,2.0,4.0,2416.0
12,70,RL,Bnk,AllPub,FR2,Gtl,SawyerW,Street,1Fam,5,4,0.0,Na,0.0,Ex,2016,0.0,0.0,3,7,576.0,P,WD ,131000,1.0,5.0,2016.0
13,160,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Twnhs,8,4,4.0,GLQ,960.0,Ex,1607,1.0,0.0,4,7,480.0,Y,ConLD,200000,2.5,5.5,2567.0
14,20,RL,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,7,4,4.0,GLQ,1351.0,Ex,1361,0.0,0.0,4,6,610.0,Y,WD ,193000,2.0,5.0,2712.0
15,20,RL,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,5,3,5.0,Unf,1430.0,Ex,1430,0.0,0.0,4,7,624.0,Y,WD ,173500,2.0,5.0,2860.0
16,70,RM,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,5,3,3.0,Unf,624.0,Fa,1344,0.0,0.0,3,7,513.0,Y,COD,98000,1.0,5.0,1968.0
17,20,RL,Lvl,AllPub,Corner,Gtl,Sawyer,Street,1Fam,5,3,3.0,Rec,1121.0,TA,1121,1.0,0.0,3,5,480.0,Y,WD ,139000,1.0,4.0,2242.0
18,20,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,6,3,3.0,Unf,660.0,Ex,1285,0.0,0.0,3,7,528.0,Y,WD ,143500,1.5,4.5,1945.0
19,60,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,7,3,4.0,GLQ,756.0,Ex,1547,0.0,0.0,4,7,614.0,Y,Con,215200,2.5,5.5,2303.0
20,20,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,5,3,4.0,BLQ,894.0,Gd,894,0.0,0.0,3,5,450.0,Y,WD ,129000,1.0,4.0,1788.0
21,120,RL,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,TwnhsE,8,4,4.0,GLQ,1501.0,Ex,1659,1.0,0.0,5,5,499.0,Y,WD ,278000,2.0,4.0,3160.0
22,60,RL,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,8,4,5.0,Unf,1209.0,Ex,2253,0.0,0.0,5,8,575.0,Y,New,344133,2.5,5.5,3462.0
23,20,RL,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,6,3,4.0,ALQ,1168.0,Ex,1187,1.0,0.0,3,6,420.0,Y,WD ,185000,2.0,5.0,2355.0
24,190,RL,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,2fmCon,5,3,3.0,Rec,1056.0,TA,1056,1.0,0.0,3,5,572.0,Y,WD ,145000,1.0,4.0,2112.0
25,20,RL,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,6,3,3.0,Rec,1453.0,Ex,1453,1.0,0.0,3,6,530.0,Y,WD ,187500,2.0,5.0,2906.0
26,20,RL,Lvl,AllPub,Inside,Gtl,Sawyer,RRA,1Fam,5,3,3.0,GLQ,894.0,Ex,894,1.0,0.0,3,5,336.0,Y,WD ,138500,1.0,4.0,1788.0
27,50,RL,HLS,AllPub,Inside,Mod,Crawfor,Norm,1Fam,5,3,3.0,BLQ,942.0,Ex,1938,0.0,0.0,4,7,240.0,Y,WD ,198000,2.0,6.0,2880.0
28,190,C (all),Lvl,AllPub,Inside,Gtl,IDOTRR,Street,2fmCon,5,3,3.0,Unf,957.0,Fa,1991,0.0,0.0,3,9,0.0,N,WD ,119600,2.0,6.0,2948.0
29,50,RL,Lvl,AllPub,Corner,Gtl,NAmes,Street,1Fam,5,3,3.0,Unf,672.0,Ex,924,0.0,0.0,3,6,576.0,Y,WD ,122900,1.0,4.0,1596.0
30,20,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Pos,1Fam,8,4,4.0,ALQ,2524.0,TA,2524,1.0,0.0,4,9,542.0,Y,WD ,278000,2.5,6.5,5048.0
31,70,RL,HLS,AllPub,Corner,Mod,Crawfor,Norm,1Fam,8,3,4.0,Unf,792.0,Fa,1517,0.0,0.0,4,7,400.0,Y,WD ,230000,1.0,4.0,2309.0
32,120,RL,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,TwnhsE,8,4,4.0,LwQ,1494.0,Ex,1494,1.0,0.0,5,6,481.0,Y,WD ,270000,1.5,3.5,2988.0
33,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,6,3,3.0,ALQ,948.0,TA,948,0.0,0.0,3,5,410.0,N,WD ,125000,1.0,3.0,1896.0
34,20,RL,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,8,4,5.0,GLQ,1705.0,Ex,1718,1.0,0.0,4,7,826.0,Y,WD ,297000,2.0,5.0,3423.0
35,20,RL,HLS,AllPub,Inside,Mod,NAmes,Norm,1Fam,6,3,4.0,Unf,160.0,Fa,1142,0.0,0.0,3,5,384.0,Y,WD ,113500,1.0,3.0,1302.0
