,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,index,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_150,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Utilities_NoSeWa,Utilities_NoSewr,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Land Slope_Mod,Land Slope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition_Pos,Condition_RRA,Condition_RRN,Condition_Street,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_Na,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,Paved Drive_P,Paved Drive_Y,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD 
0,6.0,4.0,3.0,725.0,1479.0,0.0,0.0,4.0,6.0,475.0,2.5,5.5,2204.0,36.0,24.0,18.0,4350.0,8874.0,0.0,0.0,24.0,36.0,2850.0,15.0,33.0,13224.0,16.0,12.0,2900.0,5916.0,0.0,0.0,16.0,24.0,1900.0,10.0,22.0,8816.0,9.0,2175.0,4437.0,0.0,0.0,12.0,18.0,1425.0,7.5,16.5,6612.0,525625.0,1072275.0,0.0,0.0,2900.0,4350.0,344375.0,1812.5,3987.5,1597900.0,2187441.0,0.0,0.0,5916.0,8874.0,702525.0,3697.5,8134.5,3259716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,1900.0,10.0,22.0,8816.0,36.0,2850.0,15.0,33.0,13224.0,225625.0,1187.5,2612.5,1046900.0,6.25,13.75,5510.0,30.25,12122.0,4857616.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,7.0,4.0,4.0,913.0,2122.0,1.0,0.0,4.0,8.0,559.0,2.5,6.5,3035.0,49.0,28.0,28.0,6391.0,14854.0,7.0,0.0,28.0,56.0,3913.0,17.5,45.5,21245.0,16.0,16.0,3652.0,8488.0,4.0,0.0,16.0,32.0,2236.0,10.0,26.0,12140.0,16.0,3652.0,8488.0,4.0,0.0,16.0,32.0,2236.0,10.0,26.0,12140.0,833569.0,1937386.0,913.0,0.0,3652.0,7304.0,510367.0,2282.5,5934.5,2770955.0,4502884.0,2122.0,0.0,8488.0,16976.0,1186198.0,5305.0,13793.0,6440270.0,1.0,0.0,4.0,8.0,559.0,2.5,6.5,3035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,2236.0,10.0,26.0,12140.0,64.0,4472.0,20.0,52.0,24280.0,312481.0,1397.5,3633.5,1696565.0,6.25,16.25,7587.5,42.25,19727.5,9211225.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,5.0,3.0,3.0,1057.0,1057.0,1.0,0.0,4.0,5.0,246.0,1.0,4.0,2114.0,25.0,15.0,15.0,5285.0,5285.0,5.0,0.0,20.0,25.0,1230.0,5.0,20.0,10570.0,9.0,9.0,3171.0,3171.0,3.0,0.0,12.0,15.0,738.0,3.0,12.0,6342.0,9.0,3171.0,3171.0,3.0,0.0,12.0,15.0,738.0,3.0,12.0,6342.0,1117249.0,1117249.0,1057.0,0.0,4228.0,5285.0,260022.0,1057.0,4228.0,2234498.0,1117249.0,1057.0,0.0,4228.0,5285.0,260022.0,1057.0,4228.0,2234498.0,1.0,0.0,4.0,5.0,246.0,1.0,4.0,2114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,984.0,4.0,16.0,8456.0,25.0,1230.0,5.0,20.0,10570.0,60516.0,246.0,984.0,520044.0,1.0,4.0,2114.0,16.0,8456.0,4468996.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,5.0,3.0,4.0,384.0,1444.0,0.0,0.0,3.0,7.0,400.0,2.5,5.5,1828.0,25.0,15.0,20.0,1920.0,7220.0,0.0,0.0,15.0,35.0,2000.0,12.5,27.5,9140.0,9.0,12.0,1152.0,4332.0,0.0,0.0,9.0,21.0,1200.0,7.5,16.5,5484.0,16.0,1536.0,5776.0,0.0,0.0,12.0,28.0,1600.0,10.0,22.0,7312.0,147456.0,554496.0,0.0,0.0,1152.0,2688.0,153600.0,960.0,2112.0,701952.0,2085136.0,0.0,0.0,4332.0,10108.0,577600.0,3610.0,7942.0,2639632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,1200.0,7.5,16.5,5484.0,49.0,2800.0,17.5,38.5,12796.0,160000.0,1000.0,2200.0,731200.0,6.25,13.75,4570.0,30.25,10054.0,3341584.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,6.0,3.0,2.0,676.0,1445.0,0.0,0.0,3.0,6.0,484.0,2.0,5.0,2121.0,36.0,18.0,12.0,4056.0,8670.0,0.0,0.0,18.0,36.0,2904.0,12.0,30.0,12726.0,9.0,6.0,2028.0,4335.0,0.0,0.0,9.0,18.0,1452.0,6.0,15.0,6363.0,4.0,1352.0,2890.0,0.0,0.0,6.0,12.0,968.0,4.0,10.0,4242.0,456976.0,976820.0,0.0,0.0,2028.0,4056.0,327184.0,1352.0,3380.0,1433796.0,2088025.0,0.0,0.0,4335.0,8670.0,699380.0,2890.0,7225.0,3064845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,1452.0,6.0,15.0,6363.0,36.0,2904.0,12.0,30.0,12726.0,234256.0,968.0,2420.0,1026564.0,4.0,10.0,4242.0,25.0,10605.0,4498641.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,6.0,4.0,3.0,1517.0,1888.0,0.0,0.0,4.0,6.0,578.0,2.5,4.5,3405.0,36.0,24.0,18.0,9102.0,11328.0,0.0,0.0,24.0,36.0,3468.0,15.0,27.0,20430.0,16.0,12.0,6068.0,7552.0,0.0,0.0,16.0,24.0,2312.0,10.0,18.0,13620.0,9.0,4551.0,5664.0,0.0,0.0,12.0,18.0,1734.0,7.5,13.5,10215.0,2301289.0,2864096.0,0.0,0.0,6068.0,9102.0,876826.0,3792.5,6826.5,5165385.0,3564544.0,0.0,0.0,7552.0,11328.0,1091264.0,4720.0,8496.0,6428640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,2312.0,10.0,18.0,13620.0,36.0,3468.0,15.0,27.0,20430.0,334084.0,1445.0,2601.0,1968090.0,6.25,11.25,8512.5,20.25,15322.5,11594025.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,6.0,3.0,4.0,547.0,1072.0,1.0,0.0,3.0,5.0,525.0,2.0,4.0,1619.0,36.0,18.0,24.0,3282.0,6432.0,6.0,0.0,18.0,30.0,3150.0,12.0,24.0,9714.0,9.0,12.0,1641.0,3216.0,3.0,0.0,9.0,15.0,1575.0,6.0,12.0,4857.0,16.0,2188.0,4288.0,4.0,0.0,12.0,20.0,2100.0,8.0,16.0,6476.0,299209.0,586384.0,547.0,0.0,1641.0,2735.0,287175.0,1094.0,2188.0,885593.0,1149184.0,1072.0,0.0,3216.0,5360.0,562800.0,2144.0,4288.0,1735568.0,1.0,0.0,3.0,5.0,525.0,2.0,4.0,1619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,1575.0,6.0,12.0,4857.0,25.0,2625.0,10.0,20.0,8095.0,275625.0,1050.0,2100.0,849975.0,4.0,8.0,3238.0,16.0,6476.0,2621161.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7,5.0,3.0,3.0,1188.0,1188.0,1.0,0.0,3.0,6.0,531.0,1.0,4.0,2376.0,25.0,15.0,15.0,5940.0,5940.0,5.0,0.0,15.0,30.0,2655.0,5.0,20.0,11880.0,9.0,9.0,3564.0,3564.0,3.0,0.0,9.0,18.0,1593.0,3.0,12.0,7128.0,9.0,3564.0,3564.0,3.0,0.0,9.0,18.0,1593.0,3.0,12.0,7128.0,1411344.0,1411344.0,1188.0,0.0,3564.0,7128.0,630828.0,1188.0,4752.0,2822688.0,1411344.0,1188.0,0.0,3564.0,7128.0,630828.0,1188.0,4752.0,2822688.0,1.0,0.0,3.0,6.0,531.0,1.0,4.0,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,1593.0,3.0,12.0,7128.0,36.0,3186.0,6.0,24.0,14256.0,281961.0,531.0,2124.0,1261656.0,1.0,4.0,2376.0,16.0,9504.0,5645376.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,5.0,3.0,3.0,924.0,924.0,0.0,0.0,3.0,6.0,420.0,1.0,3.0,1848.0,25.0,15.0,15.0,4620.0,4620.0,0.0,0.0,15.0,30.0,2100.0,5.0,15.0,9240.0,9.0,9.0,2772.0,2772.0,0.0,0.0,9.0,18.0,1260.0,3.0,9.0,5544.0,9.0,2772.0,2772.0,0.0,0.0,9.0,18.0,1260.0,3.0,9.0,5544.0,853776.0,853776.0,0.0,0.0,2772.0,5544.0,388080.0,924.0,2772.0,1707552.0,853776.0,0.0,0.0,2772.0,5544.0,388080.0,924.0,2772.0,1707552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,1260.0,3.0,9.0,5544.0,36.0,2520.0,6.0,18.0,11088.0,176400.0,420.0,1260.0,776160.0,1.0,3.0,1848.0,9.0,5544.0,3415104.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
9,5.0,3.0,4.0,1040.0,2080.0,0.0,1.0,2.0,9.0,504.0,2.0,7.0,3120.0,25.0,15.0,20.0,5200.0,10400.0,0.0,5.0,10.0,45.0,2520.0,10.0,35.0,15600.0,9.0,12.0,3120.0,6240.0,0.0,3.0,6.0,27.0,1512.0,6.0,21.0,9360.0,16.0,4160.0,8320.0,0.0,4.0,8.0,36.0,2016.0,8.0,28.0,12480.0,1081600.0,2163200.0,0.0,1040.0,2080.0,9360.0,524160.0,2080.0,7280.0,3244800.0,4326400.0,0.0,2080.0,4160.0,18720.0,1048320.0,4160.0,14560.0,6489600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,504.0,2.0,7.0,3120.0,4.0,18.0,1008.0,4.0,14.0,6240.0,81.0,4536.0,18.0,63.0,28080.0,254016.0,1008.0,3528.0,1572480.0,4.0,14.0,6240.0,49.0,21840.0,9734400.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
